Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RP,Pedro Strop (13361273),Pedro Strop,13361273,P,6300,CIN@CHC 09/16/2019 08:05PM ET,CHC,2.23
SP,Dylan Cease (13361270),Dylan Cease,13361270,P,6300,CWS@MIN 09/16/2019 07:40PM ET,CWS,11.69
SP,Bryan Mitchell (13361272),Bryan Mitchell,13361272,P,6300,SD@MIL 09/16/2019 07:40PM ET,SD,0
SP,Jon Duplantier (13361268),Jon Duplantier,13361268,P,6300,MIA@ARI 09/16/2019 09:40PM ET,ARI,5.83
SP,Tyler Anderson (13361269),Tyler Anderson,13361269,P,6300,NYM@COL 09/16/2019 08:40PM ET,COL,2.42
SP,Tyler Mahle (13361274),Tyler Mahle,13361274,P,6200,CIN@CHC 09/16/2019 08:05PM ET,CIN,11.76
SP,Jen-Ho Tseng (13361275),Jen-Ho Tseng,13361275,P,6200,CIN@CHC 09/16/2019 08:05PM ET,CHC,0
SP,Duane Underwood Jr. (13361276),Duane Underwood Jr.,13361276,P,6200,CIN@CHC 09/16/2019 08:05PM ET,CHC,3.57
SP,P.J. Conlon (13361277),P.J. Conlon,13361277,P,6200,NYM@COL 09/16/2019 08:40PM ET,NYM,0
SP,Zach Davies (13360580),Zach Davies,13360580,P,6100,SD@MIL 09/16/2019 07:40PM ET,MIL,9.72
SP,Ervin Santana (13361280),Ervin Santana,13361280,P,6100,NYM@COL 09/16/2019 08:40PM ET,NYM,-1
SP,Kyle McGowin (13361279),Kyle McGowin,13361279,P,6100,WAS@STL 09/16/2019 07:45PM ET,WAS,2.83
SP,Marco Estrada (13361278),Marco Estrada,13361278,P,6100,KC@OAK 09/16/2019 10:07PM ET,OAK,3.77
SP,Trevor Oaks (13361281),Trevor Oaks,13361281,P,6100,KC@OAK 09/16/2019 10:07PM ET,KC,0
SP,Oscar De La Cruz (13361284),Oscar De La Cruz,13361284,P,6000,CIN@CHC 09/16/2019 08:05PM ET,CHC,0
RP,Matt Bowman (13361291),Matt Bowman,13361291,P,6000,CIN@CHC 09/16/2019 08:05PM ET,CIN,2.71
RP,Amir Garrett (13361292),Amir Garrett,13361292,P,6000,CIN@CHC 09/16/2019 08:05PM ET,CIN,3.23
SP,Manny Banuelos (13361290),Manny Banuelos,13361290,P,6000,CWS@MIN 09/16/2019 07:40PM ET,CWS,4.89
RP,Ray Black (13361288),Ray Black,13361288,P,6000,SD@MIL 09/16/2019 07:40PM ET,MIL,2.59
SP,Matt Strahm (13361289),Matt Strahm,13361289,P,6000,SD@MIL 09/16/2019 07:40PM ET,SD,7.18
SP,Kris Medlen (13361285),Kris Medlen,13361285,P,6000,MIA@ARI 09/16/2019 09:40PM ET,ARI,0
SP,Jorge Guzman (13361286),Jorge Guzman,13361286,P,6000,MIA@ARI 09/16/2019 09:40PM ET,MIA,0
SP,David Peterson (13361287),David Peterson,13361287,P,6000,NYM@COL 09/16/2019 08:40PM ET,NYM,0
SP,Danny Duffy (13361282),Danny Duffy,13361282,P,6000,KC@OAK 09/16/2019 10:07PM ET,KC,13.25
SP,Homer Bailey (13361283),Homer Bailey,13361283,P,6000,KC@OAK 09/16/2019 10:07PM ET,OAK,13.04
SP,Bernardo Flores (13361297),Bernardo Flores,13361297,P,5900,CWS@MIN 09/16/2019 07:40PM ET,CWS,0
SP,Marcos Diplan (13361295),Marcos Diplan,13361295,P,5900,SD@MIL 09/16/2019 07:40PM ET,MIL,0
SP,Elieser Hernandez (13361298),Elieser Hernandez,13361298,P,5900,MIA@ARI 09/16/2019 09:40PM ET,MIA,9.94
RP,Justin Wilson (13361299),Justin Wilson,13361299,P,5900,NYM@COL 09/16/2019 08:40PM ET,NYM,3.13
SP,Wil Crowe (13361294),Wil Crowe,13361294,P,5900,WAS@STL 09/16/2019 07:45PM ET,WAS,0
RP,Sean Doolittle (13361300),Sean Doolittle,13361300,P,5900,WAS@STL 09/16/2019 07:45PM ET,WAS,2.99
SP,Brett Anderson (13361293),Brett Anderson,13361293,P,5900,KC@OAK 09/16/2019 10:07PM ET,OAK,10.57
SP,Parker Bridwell (13361296),Parker Bridwell,13361296,P,5900,KC@OAK 09/16/2019 10:07PM ET,OAK,0
SP,Derek Holland (13361306),Derek Holland,13361306,P,5800,CIN@CHC 09/16/2019 08:05PM ET,CHC,3.72
SP,Kohl Stewart (13361302),Kohl Stewart,13361302,P,5800,CWS@MIN 09/16/2019 07:40PM ET,MIN,2.99
SP,Randy Dobnak (13361305),Randy Dobnak,13361305,P,5800,CWS@MIN 09/16/2019 07:40PM ET,MIN,5.44
SP,Braden Shipley (13361303),Braden Shipley,13361303,P,5800,MIA@ARI 09/16/2019 09:40PM ET,ARI,0
SP,Chad Bettis (13361307),Chad Bettis,13361307,P,5800,NYM@COL 09/16/2019 08:40PM ET,COL,2.12
SP,Arnaldo Hernandez (13361301),Arnaldo Hernandez,13361301,P,5800,KC@OAK 09/16/2019 10:07PM ET,KC,0
SP,Daniel Mengden (13361304),Daniel Mengden,13361304,P,5800,KC@OAK 09/16/2019 10:07PM ET,OAK,10.08
SP,Odrisamer Despaigne (13361309),Odrisamer Despaigne,13361309,P,5700,CWS@MIN 09/16/2019 07:40PM ET,CWS,-1.07
SP,Adrian Houser (13361310),Adrian Houser,13361310,P,5700,SD@MIL 09/16/2019 07:40PM ET,MIL,9.01
SP,Jose Urena (13361313),Jose Urena,13361313,P,5700,MIA@ARI 09/16/2019 09:40PM ET,MIA,7.29
1B,Pete Alonso (13360585),Pete Alonso,13360585,1B,5700,NYM@COL 09/16/2019 08:40PM ET,NYM,9.52
SP,Tim Melville (13361312),Tim Melville,13361312,P,5700,NYM@COL 09/16/2019 08:40PM ET,COL,10.28
RP,Andrew Miller (13361314),Andrew Miller,13361314,P,5700,WAS@STL 09/16/2019 07:45PM ET,STL,2.53
SP,Tanner Anderson (13361308),Tanner Anderson,13361308,P,5700,KC@OAK 09/16/2019 10:07PM ET,OAK,5.68
SP,Mike Fiers (13361311),Mike Fiers,13361311,P,5700,KC@OAK 09/16/2019 10:07PM ET,OAK,12.85
C,Mitch Garver (13360586),Mitch Garver,13360586,C,5600,CWS@MIN 09/16/2019 07:40PM ET,MIN,9.55
2B/OF,Jeff McNeil (13360587),Jeff McNeil,13360587,2B/OF,5600,NYM@COL 09/16/2019 08:40PM ET,NYM,8.80
SP,Paul Blackburn (13361315),Paul Blackburn,13361315,P,5600,KC@OAK 09/16/2019 10:07PM ET,OAK,0.09
OF,Christian Yelich (13360584),Christian Yelich,13360584,OF,5500,SD@MIL 09/16/2019 07:40PM ET,MIL,12.18
SP,Pablo Lopez (13360581),Pablo Lopez,13360581,P,5500,MIA@ARI 09/16/2019 09:40PM ET,MIA,11.90
RP,Silvino Bracho (13361316),Silvino Bracho,13361316,P,5500,MIA@ARI 09/16/2019 09:40PM ET,ARI,0
SS,Trevor Story (13360589),Trevor Story,13360589,SS,5500,NYM@COL 09/16/2019 08:40PM ET,COL,10.30
